"question","schema_name","difficulty","sql_answer","chatgpt_valid","notes"
"How many total members are there in the club?","student_club","EASY","SELECT COUNT(*) AS total_members FROM member;","1",""
"How many members have a registered email address?","student_club","EASY","SELECT COUNT(*) AS members_with_email  FROM member  WHERE email IS NOT NULL;","1",""
"How many distinct positions exist in the club?","student_club","EASY","SELECT COUNT(DISTINCT position) AS distinct_positions FROM member WHERE position IS NOT NULL;","1",""
"What is the highest ZIP code among the club members?","student_club","EASY","SELECT MAX(zip) AS max_zip FROM member;","1",""
"How many members have the major 'Computer Science'?","student_club","EASY","SELECT COUNT(*) FROM member WHERE link_to_major = 'Computer Science';","0","initial SQL used wrong column name (major instead of link_to_major)"
"Which members have attended the highest number of events?","student_club","MEDIUM","SELECT m.member_id, m.first_name, m.last_name, COUNT(*) AS attendances 
FROM member m 
JOIN attendance a ON a.link_to_member = m.member_id 
GROUP BY m.member_id, m.first_name, m.last_name 
ORDER BY attendances DESC 
LIMIT 5;","0","initial SQL used wrong column name in attendance table"
"How many attendees does each event have?","student_club","MEDIUM","SELECT a.link_to_event AS event_id, COUNT(*) AS attendees FROM attendance a GROUP BY a.link_to_event ORDER BY attendees DESC LIMIT 10;","1",""
"Which members have never attended any event?","student_club","MEDIUM","SELECT m.member_id, m.first_name, m.last_name FROM member m LEFT JOIN attendance a ON a.link_to_member = m.member_id WHERE a.link_to_member IS NULL;","1",""
"How many events does each member have?","student_club","MEDIUM","SELECT m.member_id, COUNT(a.link_to_event) AS total_events
FROM member m
JOIN attendance a ON a.link_to_member = m.member_id
GROUP BY m.member_id;","0","Used wrong column name (a.event_id). Correct column is link_to_event."
"Which events have more than 20 attendees?","student_club","MEDIUM","SELECT a.link_to_event AS event_id, COUNT(*) AS attendees FROM attendance a GROUP BY a.link_to_event HAVING COUNT(*) > 20 ORDER BY attendees DESC;","1",""
"How many events have above-average attendance?","student_club","HARD","WITH per_event AS (SELECT link_to_event, COUNT(*) AS attendees FROM attendance GROUP BY link_to_event)
SELECT COUNT(*) AS events_above_avg FROM per_event WHERE attendees > (SELECT AVG(attendees) FROM per_event);","1",""
"How many events have above-average total spending (based on money spent)?","student_club","HARD","SELECT COUNT(*) AS events_above_avg_spending
FROM (SELECT b.link_to_event, SUM(b.spent) AS total_spent FROM budget b GROUP BY b.link_to_event) x
WHERE x.total_spent > (SELECT AVG(total_spent) FROM (SELECT b.link_to_event, SUM(b.spent) AS total_spent FROM budget b GROUP BY b.link_to_event) y);","0","Logical error: used amount (quantity) instead of spent (money). SQL executed
but answer was incorrect for the question."
"How many members have attended at least one event that had above-average attendance?","student_club","HARD","SELECT COUNT(DISTINCT a.link_to_member) AS members_in_popular_events
FROM attendance a
WHERE a.link_to_event IN (SELECT link_to_event FROM attendance GROUP BY link_to_event HAVING COUNT(*) > (SELECT AVG(cnt) FROM (SELECT COUNT(*) AS cnt FROM attendance GROUP BY link_to_event) x));","1",""
"For each year, which event had the highest attendance, and how many attendees did it have?","student_club","HARD","SELECT t.yr, t.event_id, t.attendees
FROM (SELECT YEAR(e.event_date) AS yr, a.link_to_event AS event_id, COUNT(*) AS attendees FROM attendance a JOIN event e ON e.event_id = a.link_to_event GROUP BY YEAR(e.event_date), a.link_to_event) t
WHERE t.attendees = (SELECT MAX(t2.attendees) FROM (SELECT a2.link_to_event AS event_id, COUNT(*) AS attendees FROM attendance a2 JOIN event e2 ON e2.event_id = a2.link_to_event WHERE YEAR(e2.event_date) = t.yr GROUP BY a2.link_to_event) t2)
ORDER BY t.yr, t.event_id;","1",""
"Which members have attended more events than the average number of events attended per member?","student_club","HARD","SELECT m.member_id, COUNT(a.link_to_event) AS total_events
FROM member m JOIN attendance a ON a.link_to_member = m.member_id
GROUP BY m.member_id
HAVING COUNT(a.link_to_event) > (SELECT AVG(cnt) FROM (SELECT COUNT(*) AS cnt FROM attendance GROUP BY link_to_member) x);","0","Wrong column name used (a.event_id). Correct column in attendance 
table is link_to_event."
"How many races are recorded in the Formula 1 dataset?","formula_1","EASY","SELECT COUNT(*) AS total_races FROM races;","1",""
"How many drivers are recorded in the Formula 1 dataset?","formula_1","EASY","SELECT COUNT(DISTINCT year) AS total_seasons FROM races;","0","Column 'season' does not exist in races table. Correct column name is 'year'."
"How many constructors are there in the dataset?","formula_1","EASY","SELECT COUNT(*) AS total_constructors FROM constructors;","1",""
"What is the earliest year recorded in the Formula 1 dataset?","formula_1","EASY","SELECT MIN(year) AS earliest_season FROM races;","1",""
"How many races were held in the 2010 season?","formula_1","EASY","SELECT COUNT(*) AS races_2010 FROM races WHERE year = 2010;","1",""
"Which circuits have hosted the highest number of races?","formula_1","MEDIUM","SELECT c.name, COUNT(*) AS total_races FROM races r JOIN circuits c ON r.circuitId = c.circuitId GROUP BY c.circuitId, c.name
ORDER BY total_races DESC LIMIT 5;","1",""
"How many drivers have won at least one race?","formula_1","MEDIUM","SELECT COUNT(DISTINCT driverId) AS drivers_with_wins FROM results
WHERE position = 1;","1",""
"What is the highest number of races held in a single season?","formula_1","MEDIUM","SELECT MAX(race_count) AS max_races_in_season FROM (SELECT year, COUNT(*) AS race_count FROM races GROUP BY year) x
;","1",""
"How many drivers have achieved at least one podium finish (position ≤ 3)?","formula_1","MEDIUM","SELECT COUNT(*) AS drivers_with_podium FROM drivers d
WHERE EXISTS (SELECT 1 FROM results r WHERE r.driverId = d.driverId AND r.position <= 3);","1",""
"How many different circuits have hosted races after the year 2010?","formula_1","MEDIUM","SELECT COUNT(DISTINCT r.circuitId) AS circuits_after_2010 FROM races r
WHERE r.year > 2010;","1",""
"How many drivers have at least one race win?","formula_1","HARD","SELECT COUNT(DISTINCT driverId) AS drivers_with_wins FROM results
WHERE position = 1;","0","Logical error: used podium condition (position <= 3) instead of wins (position = 1)."
"How many races were held in each country?","formula_1","HARD","SELECT c.country, COUNT(*) AS races_hosted FROM races r JOIN circuits c ON r.circuitId = c.circuitId
GROUP BY c.country ORDER BY races_hosted DESC LIMIT 10;","1",""
"Which driver has achieved the highest number of race wins?","formula_1","HARD","SELECT d.driverId, d.forename, d.surname, COUNT(*) AS wins FROM results r JOIN drivers d ON r.driverId = d.driverId
WHERE r.position = 1 GROUP BY d.driverId, d.forename, d.surname ORDER BY wins DESC LIMIT 1;","0","Invalid use of aggregate function: MAX(COUNT(*)) is not allowed. 
Nested aggregation requires subquery."
"For each year, how many races were held in the season with the maximum number of races?","formula_1","HARD","SELECT year, race_count FROM (SELECT year, COUNT(*) AS race_count FROM races GROUP BY year) t WHERE race_count = (SELECT MAX(race_count) FROM (SELECT year, COUNT(*) AS race_count FROM races GROUP BY year) z);","1",""
"Which driver has the highest average finishing position (minimum average position across all races)?","formula_1","HARD","SELECT d.driverId, d.forename, d.surname, AVG(r.position) AS avg_position FROM results r JOIN drivers d ON r.driverId = d.driverId WHERE r.position IS NOT NULL GROUP BY d.driverId, d.forename, d.surname ORDER BY avg_position ASC LIMIT 1;","1",""
"How many transactions are associated with each account?","financial","EASY","SELECT CustomerID, COUNT(*) AS total_transactions
FROM transactions_1k GROUP BY CustomerID ORDER BY total_transactions DESC LIMIT 5;","0","Requirement mismatch: used COUNT(*) instead of SUM(Amount * Price).
Aggregation logic does not reflect total spending per customer."
"How many distinct customers exist in the transactions table?","financial","EASY","SELECT COUNT(DISTINCT CustomerID) AS total_customers FROM transactions_1k;","1",""
"How many different gas stations appear in the transactions table?","financial","EASY","SELECT COUNT(DISTINCT GasStationID) AS total_gas_stations FROM transactions_1k;","1",""
"What is the highest transaction amount recorded?","financial","EASY","SELECT MAX(Amount) AS highest_amount FROM transactions_1k;","1",""
"What is the average price across all transactions?","financial","EASY","SELECT AVG(Price) AS avg_price FROM transactions_1k;","1",""
"Which customers have total spending above the average customer spending?","financial","MEDIUM","SELECT CustomerID, SUM(Amount * Price) AS total_spent FROM transactions_1k GROUP BY CustomerID HAVING SUM(Amount * Price) > (SELECT AVG(total_spent) FROM (SELECT SUM(Amount * Price) AS total_spent FROM transactions_1k GROUP BY CustomerID) x);","1",""
"Which products generated more than 10,000 in total revenue?","financial","MEDIUM","SELECT p.ProductID, SUM(t.Amount * t.Price) AS total_revenue FROM transactions_1k t JOIN products p ON t.ProductID = p.ProductID GROUP BY p.ProductID HAVING SUM(t.Amount * t.Price) > 10000;","1",""
"Which customers made transactions at more than 3 different gas stations?","financial","MEDIUM","SELECT CustomerID, COUNT(DISTINCT GasStationID) AS stations_used FROM transactions_1k GROUP BY CustomerID HAVING COUNT(DISTINCT GasStationID) > 3;","1",""
"Which products have above-average total revenue?","financial","MEDIUM","SELECT ProductID, SUM(Amount * Price) AS total_revenue FROM transactions_1k GROUP BY ProductID HAVING SUM(Amount * Price) > (SELECT AVG(s) FROM (SELECT SUM(Amount * Price) AS s FROM transactions_1k GROUP BY ProductID) x);","0","Logical error: used SUM(Amount) (quantity) instead of SUM(Amount * Price) (revenue)."
"Which customers have made transactions above the average transaction amount?","financial","MEDIUM","SELECT CustomerID, COUNT(*) AS high_value_transactions FROM transactions_1k
WHERE (Amount * Price) > (SELECT AVG(Amount * Price) FROM transactions_1k) GROUP BY CustomerID;","1",""
"How many customers have at least one transaction whose value equals their maximum transaction value?","financial","HARD","SELECT COUNT(DISTINCT t.CustomerID) AS customers_with_peak_txn FROM transactions_1k t
WHERE (t.Amount * t.Price) = (SELECT MAX(t2.Amount * t2.Price) FROM transactions_1k t2 WHERE t2.CustomerID = t.CustomerID);","1",""
