"question","schema_name","difficulty","sql_answer_text","chatgpt_valid","notes"
"How many transactions does each account have? (Top 10)","debit_card_specializing","MEDIUM","SELECT account_id, COUNT(*) AS txn_count FROM trans GROUP BY account_id ORDER BY txn_count DESC LIMIT 10;","1",""
"How many accounts have more than 5 loans?","debit_card_specializing","MEDIUM","SELECT COUNT(*) FROM (SELECT account_id FROM loan GROUP BY account_id HAVING COUNT(*) > 5) x;","0","Column loan_count does not exist. Must count loans via JOIN and GROUP BY."
"How many accounts have more transactions than the average account?","debit_card_specializing","HARD","SELECT COUNT(*) FROM (SELECT account_id, COUNT(*) AS cnt FROM trans GROUP BY account_id HAVING COUNT(*) > (SELECT AVG(c) FROM (SELECT COUNT(*) AS c FROM trans GROUP BY account_id) x)) t;","1",""
"Which account has the maximum balance recorded in transactions?","debit_card_specializing","HARD","SELECT account_id, SUM(balance) AS total_balance FROM trans GROUP BY account_id ORDER BY total_balance DESC LIMIT 1;","0","Invalid nested aggregation: MAX(SUM(balance)) not allowed. Use ORDER BY SUM(balance) DESC LIMIT 1."
"How many posts are recorded?","codebase_community","EASY","SELECT COUNT(*) AS total_users FROM users;","1",""
"How many users have more than 5 posts?","codebase_community","MEDIUM","SELECT COUNT(*) FROM (SELECT OwnerUserId FROM posts GROUP BY OwnerUserId HAVING COUNT(*) > 5) x;","0","Column post_count does not exist in users table. Must count posts via GROUP BY on posts table."
"Which 10 users have written the most posts?","codebase_community","MEDIUM","SELECT OwnerUserId, COUNT(*) AS post_count FROM posts GROUP BY OwnerUserId ORDER BY post_count DESC LIMIT 10;","1",""
"How many users have more posts than the average user?","codebase_community","HARD","SELECT COUNT(*) FROM (SELECT OwnerUserId, COUNT(*) AS cnt FROM posts GROUP BY OwnerUserId HAVING COUNT(*) > (SELECT AVG(c) FROM (SELECT COUNT(*) AS c FROM posts GROUP BY OwnerUserId) x)) t;","1",""
"Which user has the highest total votes received on their posts?","codebase_community","HARD","SELECT p.OwnerUserId, COUNT(*) AS vote_count FROM posts p JOIN votes v ON v.PostId = p.Id GROUP BY p.OwnerUserId ORDER BY vote_count DESC LIMIT 1;","0","Invalid nested aggregation and wrong logic. Votes must be joined with posts to attribute votes to post owners."
"How many patients are recorded?","thrombosis_prediction","EASY","SELECT COUNT(*) AS total_patients FROM patient;","1",""
